epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,35364.5,0.31194,0.72264,0.83915,0.9718,0.99014,0.99343,0.96921,0.21581,0.64435,0.77413,0.0003565,0.0003565,0.0003565
67,35402.8,0.29799,0.64143,0.83149,0.97305,0.99771,0.9937,0.96953,0.21118,0.63803,0.77247,0.0003466,0.0003466,0.0003466
68,35441.3,0.31169,0.65778,0.83648,0.96702,0.99781,0.99341,0.96917,0.21087,0.63203,0.77225,0.0003367,0.0003367,0.0003367
69,35478.3,0.26848,0.67643,0.82586,0.96799,0.99564,0.99341,0.97392,0.21153,0.62451,0.77179,0.0003268,0.0003268,0.0003268
70,35516.4,0.28192,0.66029,0.82366,0.9655,0.99699,0.99376,0.97365,0.21321,0.62326,0.7713,0.0003169,0.0003169,0.0003169
71,35552.9,0.27878,0.6543,0.81323,0.99265,0.977,0.99471,0.97563,0.2084,0.61743,0.7701,0.000307,0.000307,0.000307
72,35591.4,0.31436,0.62705,0.82262,0.98846,0.99367,0.995,0.97852,0.20432,0.60862,0.76869,0.0002971,0.0002971,0.0002971
73,35627.4,0.28651,0.64827,0.84831,0.99057,0.99217,0.995,0.97933,0.20206,0.60146,0.76847,0.0002872,0.0002872,0.0002872
74,35665.8,0.26213,0.62646,0.80933,0.99084,0.99241,0.995,0.98384,0.19706,0.59539,0.7679,0.0002773,0.0002773,0.0002773
75,35703,0.28362,0.63149,0.83035,0.9925,0.99319,0.995,0.98634,0.19283,0.5929,0.76809,0.0002674,0.0002674,0.0002674
76,35740.4,0.27016,0.60497,0.80905,0.99198,0.99414,0.995,0.98775,0.19244,0.59285,0.76824,0.0002575,0.0002575,0.0002575
77,35778.5,0.27836,0.62209,0.83167,0.9926,0.99472,0.995,0.98439,0.19153,0.59049,0.76781,0.0002476,0.0002476,0.0002476
78,35814.9,0.24794,0.62632,0.82287,0.99289,0.99543,0.995,0.98266,0.19444,0.58922,0.76768,0.0002377,0.0002377,0.0002377
79,35853.4,0.28861,0.64294,0.80735,0.99366,0.99172,0.99473,0.98136,0.19644,0.58266,0.7679,0.0002278,0.0002278,0.0002278
80,35889.5,0.25975,0.61559,0.81283,0.9924,0.99306,0.99473,0.97978,0.19422,0.57402,0.76706,0.0002179,0.0002179,0.0002179
81,35927.9,0.27817,0.62925,0.81964,0.98948,0.99139,0.99473,0.98312,0.19054,0.56815,0.76627,0.000208,0.000208,0.000208
82,35964,0.26188,0.61779,0.83234,0.99296,0.98386,0.99473,0.98543,0.18774,0.5642,0.76555,0.0001981,0.0001981,0.0001981
83,36002.3,0.25631,0.56529,0.80573,0.99214,0.98754,0.995,0.98424,0.18703,0.56215,0.76502,0.0001882,0.0001882,0.0001882
84,36039.5,0.25784,0.58485,0.83165,0.99065,0.98998,0.995,0.98539,0.18347,0.55642,0.76438,0.0001783,0.0001783,0.0001783
85,36076.8,0.28368,0.56014,0.82098,0.99099,0.99426,0.995,0.98475,0.17946,0.55132,0.76445,0.0001684,0.0001684,0.0001684
86,36115.3,0.25104,0.57475,0.82231,0.99417,0.99563,0.995,0.98601,0.17542,0.54742,0.76413,0.0001585,0.0001585,0.0001585
87,36151.6,0.24672,0.5833,0.82362,0.99695,0.99547,0.995,0.98365,0.1744,0.54877,0.76395,0.0001486,0.0001486,0.0001486
88,36189.9,0.27626,0.63388,0.81948,0.99704,0.99545,0.995,0.9839,0.17481,0.55083,0.76431,0.0001387,0.0001387,0.0001387
89,36225.9,0.22576,0.56349,0.79941,0.99627,0.99563,0.995,0.98409,0.1719,0.55306,0.76415,0.0001288,0.0001288,0.0001288
90,36265.1,0.2488,0.57105,0.80719,0.99586,0.99581,0.995,0.98414,0.17032,0.55513,0.76419,0.0001189,0.0001189,0.0001189
91,36301.7,0.22565,0.65197,0.77266,0.99513,0.99293,0.99473,0.98292,0.17138,0.55868,0.76444,0.000109,0.000109,0.000109
92,36339.3,0.22295,0.64382,0.81397,0.99505,0.99306,0.99473,0.98365,0.17394,0.56314,0.76471,9.91e-05,9.91e-05,9.91e-05
93,36376.6,0.21997,0.62881,0.81019,0.99531,0.99306,0.99473,0.98551,0.17517,0.5673,0.76486,8.92e-05,8.92e-05,8.92e-05
94,36413.1,0.23208,0.66735,0.78527,0.99563,0.99198,0.99473,0.98522,0.17313,0.57059,0.76484,7.93e-05,7.93e-05,7.93e-05
95,36450.8,0.23221,0.63684,0.8028,0.99477,0.99009,0.99473,0.9852,0.17018,0.5725,0.76463,6.94e-05,6.94e-05,6.94e-05
96,36487,0.21982,0.62014,0.78425,0.99433,0.98998,0.99473,0.98394,0.16821,0.57352,0.76443,5.95e-05,5.95e-05,5.95e-05
